feature,importance
TotalCharges_1138.8,0.0
TotalCharges_1139.2,0.0
TotalCharges_114.1,0.0
TotalCharges_114.15,0.0
TotalCharges_114.7,0.0
TotalCharges_1140.05,0.0
TotalCharges_1143.8,0.0
TotalCharges_1144.5,0.0
TotalCharges_1105.4,0.0
TotalCharges_1103.25,0.0
TotalCharges_1102.4,0.0
TotalCharges_1094.35,0.0
TotalCharges_1108.6,0.0
TotalCharges_1108.2,0.0
TotalCharges_1108,0.0
TotalCharges_1107.25,0.0
TotalCharges_1092.35,0.0
TotalCharges_1093,0.0
TotalCharges_1093.1,0.0
TotalCharges_1093.2,0.0
TotalCharges_1093.4,0.0
TotalCharges_1094.5,0.0
TotalCharges_1101.85,0.0
TotalCharges_1095.3,0.0
TotalCharges_1095.65,0.0
TotalCharges_1096.6,0.0
TotalCharges_1096.65,0.0
TotalCharges_1097.15,0.0
TotalCharges_1098.85,0.0
TotalCharges_980.35,0.0
TotalCharges_110.05,0.0
TotalCharges_110.15,0.0
TotalCharges_1192.3,0.0
TotalCharges_1208.6,0.0
TotalCharges_1013.05,0.0
TotalCharges_1165.6,0.0
TotalCharges_1165.9,0.0
TotalCharges_1166.7,0.0
TotalCharges_1167.6,0.0
TotalCharges_1167.8,0.0
TotalCharges_1169.35,0.0
TotalCharges_117.05,0.0
TotalCharges_117.8,0.0
TotalCharges_117.95,0.0
TotalCharges_1170.5,0.0
TotalCharges_1170.55,0.0
TotalCharges_1171.5,0.0
TotalCharges_1147.85,0.0
TotalCharges_1172.95,0.0
TotalCharges_1173.35,0.0
TotalCharges_1173.55,0.0
TotalCharges_98.5,0.0
TotalCharges_1174.8,0.0
TotalCharges_1175.6,0.0
TotalCharges_1175.85,0.0
TotalCharges_1177.05,0.0
TotalCharges_1177.95,0.0
TotalCharges_1171.3,0.0
TotalCharges_1209.25,0.0
TotalCharges_1090.6,0.0
TotalCharges_1020.2,0.0
TotalCharges_1013.2,0.0
TotalCharges_1013.35,0.0
TotalCharges_1013.6,0.0
TotalCharges_1014.25,0.0
TotalCharges_1016.7,0.0
TotalCharges_1017.35,0.0
TotalCharges_102.45,0.0
TotalCharges_102.5,0.0
TotalCharges_102.75,0.0
TotalCharges_1020.75,0.0
TotalCharges_109.8,0.0
TotalCharges_1021.55,0.0
TotalCharges_1021.75,0.0
TotalCharges_1021.8,0.0
TotalCharges_1022.5,0.0
TotalCharges_1022.6,0.0
TotalCharges_1022.95,0.0
TotalCharges_1023.75,0.0
TotalCharges_1023.85,0.0
TotalCharges_985.05,0.0
TotalCharges_1178.25,0.0
TotalCharges_1165.55,0.0
TotalCharges_1208.35,0.0
TotalCharges_1164.3,0.0
TotalCharges_118.25,0.0
TotalCharges_1192.7,0.0
TotalCharges_1193.55,0.0
TotalCharges_1194.3,0.0
TotalCharges_1195.25,0.0
TotalCharges_1195.75,0.0
TotalCharges_1195.95,0.0
TotalCharges_1198.05,0.0
TotalCharges_1198.8,0.0
TotalCharges_1199.4,0.0
TotalCharges_120.25,0.0
TotalCharges_1200.15,0.0
TotalCharges_1201.15,0.0
TotalCharges_1201.65,0.0
TotalCharges_1203.9,0.0
TotalCharges_1203.95,0.0
TotalCharges_1205.05,0.0
TotalCharges_1205.5,0.0
TotalCharges_1206.05,0.0
TotalCharges_1207,0.0
TotalCharges_1208.15,0.0
TotalCharges_1178.75,0.0
TotalCharges_1356.3,0.0
TotalCharges_1161.75,0.0
TotalCharges_1155.6,0.0
TotalCharges_1162.85,0.0
TotalCharges_1149.65,0.0
TotalCharges_115.1,0.0
TotalCharges_115.95,0.0
TotalCharges_1151.05,0.0
TotalCharges_1151.55,0.0
TotalCharges_1152.7,0.0
TotalCharges_1152.8,0.0
TotalCharges_1153.25,0.0
TotalCharges_1156.1,0.0
TotalCharges_1160.75,0.0
TotalCharges_1156.35,0.0
TotalCharges_1156.55,0.0
TotalCharges_1157.05,0.0
TotalCharges_1158.85,0.0
TotalCharges_116.6,0.0
TotalCharges_116.65,0.0
TotalCharges_116.85,0.0
TotalCharges_116.95,0.0
TotalCharges_1160.45,0.0
TotalCharges_1356.7,0.0
TotalCharges_134.7,0.0
TotalCharges_1355.45,0.0
TotalCharges_1216.35,0.0
TotalCharges_1233.15,0.0
TotalCharges_1233.25,0.0
TotalCharges_1233.4,0.0
TotalCharges_1233.65,0.0
TotalCharges_1234.6,0.0
TotalCharges_1234.8,0.0
TotalCharges_1235.55,0.0
TotalCharges_1236.15,0.0
TotalCharges_1222.25,0.0
TotalCharges_1222.05,0.0
TotalCharges_1221.65,0.0
TotalCharges_1221.55,0.0
TotalCharges_1211.65,0.0
TotalCharges_1212.1,0.0
TotalCharges_1212.25,0.0
TotalCharges_1212.85,0.0
TotalCharges_1214.05,0.0
TotalCharges_1215.1,0.0
TotalCharges_1215.45,0.0
TotalCharges_1215.6,0.0
TotalCharges_1215.65,0.0
TotalCharges_1232.9,0.0
TotalCharges_1231.85,0.0
TotalCharges_1265.65,0.0
TotalCharges_1230.25,0.0
TotalCharges_1301.7,0.0
TotalCharges_1301.9,0.0
TotalCharges_1302.65,0.0
TotalCharges_1303.25,0.0
TotalCharges_1303.5,0.0
TotalCharges_1304.8,0.0
TotalCharges_1266.4,0.0
TotalCharges_1266.1,0.0
TotalCharges_1321.3,0.0
TotalCharges_1222.65,0.0
TotalCharges_1230.9,0.0
TotalCharges_1222.8,0.0
TotalCharges_1224.05,0.0
TotalCharges_1225.65,0.0
TotalCharges_1226.45,0.0
TotalCharges_1228.65,0.0
TotalCharges_1229.1,0.0
TotalCharges_123.05,0.0
TotalCharges_123.65,0.0
TotalCharges_123.8,0.0
TotalCharges_1215.8,0.0
TotalCharges_1216.6,0.0
TotalCharges_1301,0.0
TotalCharges_1217.25,0.0
TotalCharges_126.05,0.0
TotalCharges_1260.7,0.0
TotalCharges_1261,0.0
TotalCharges_1261.35,0.0
TotalCharges_1261.7,0.0
TotalCharges_1263.05,0.0
TotalCharges_1263.85,0.0
TotalCharges_1263.9,0.0
TotalCharges_1264.2,0.0
TotalCharges_1253.15,0.0
TotalCharges_1252,0.0
TotalCharges_1238.45,0.0
TotalCharges_1250.85,0.0
TotalCharges_1238.65,0.0
TotalCharges_124.4,0.0
TotalCharges_124.45,0.0
TotalCharges_1240.15,0.0
TotalCharges_1240.25,0.0
TotalCharges_1240.8,0.0
TotalCharges_1242.2,0.0
TotalCharges_1242.25,0.0
TotalCharges_1259.35,0.0
TotalCharges_1259,0.0
TotalCharges_1258.6,0.0
TotalCharges_1237.65,0.0
TotalCharges_1218.25,0.0
TotalCharges_1218.45,0.0
TotalCharges_1218.55,0.0
TotalCharges_1218.65,0.0
TotalCharges_1219.85,0.0
TotalCharges_122,0.0
TotalCharges_122.7,0.0
TotalCharges_122.9,0.0
TotalCharges_1237.3,0.0
TotalCharges_1237.85,0.0
TotalCharges_1258.35,0.0
TotalCharges_1252.85,0.0
TotalCharges_1253.5,0.0
TotalCharges_1253.65,0.0
TotalCharges_1253.8,0.0
TotalCharges_1253.9,0.0
TotalCharges_1254.7,0.0
TotalCharges_1255.1,0.0
TotalCharges_1258.15,0.0
TotalCharges_1258.3,0.0
TotalCharges_1301.1,0.0
TotalCharges_130.75,0.0
TotalCharges_1244.5,0.0
TotalCharges_1272.05,0.0
TotalCharges_1290,0.0
TotalCharges_1291.3,0.0
TotalCharges_1291.35,0.0
TotalCharges_1292.2,0.0
TotalCharges_1292.6,0.0
TotalCharges_1279,0.0
TotalCharges_1278.8,0.0
TotalCharges_1277.75,0.0
TotalCharges_1277.5,0.0
TotalCharges_1267,0.0
TotalCharges_1267.05,0.0
TotalCharges_1267.2,0.0
TotalCharges_1267.95,0.0
TotalCharges_1268.85,0.0
TotalCharges_1269.1,0.0
TotalCharges_1269.55,0.0
TotalCharges_1269.6,0.0
TotalCharges_127.1,0.0
TotalCharges_1270.2,0.0
TotalCharges_1270.25,0.0
TotalCharges_1270.55,0.0
TotalCharges_129.6,0.0
TotalCharges_129.55,0.0
TotalCharges_129.2,0.0
TotalCharges_1281.25,0.0
TotalCharges_3058.3,0.0
TotalCharges_3058.65,0.0
TotalCharges_306.05,0.0
TotalCharges_20.35,0.0
TotalCharges_964.35,0.0
TotalCharges_20.25,0.0
TotalCharges_1288,0.0
TotalCharges_128.6,0.0
TotalCharges_1281,0.0
TotalCharges_1282.85,0.0
TotalCharges_129.15,0.0
TotalCharges_1284.2,0.0
TotalCharges_1285.05,0.0
TotalCharges_1285.8,0.0
TotalCharges_1286,0.0
TotalCharges_1286.05,0.0
TotalCharges_1287.85,0.0
TotalCharges_1288.3,0.0
TotalCharges_1266.35,0.0
TotalCharges_1288.75,0.0
TotalCharges_1271.8,0.0
TotalCharges_1273.3,0.0
TotalCharges_130.55,0.0
TotalCharges_1274.05,0.0
TotalCharges_1316.9,0.0
TotalCharges_1317.95,0.0
TotalCharges_1319.85,0.0
TotalCharges_1319.95,0.0
TotalCharges_132.2,0.0
TotalCharges_132.25,0.0
TotalCharges_1307.8,0.0
TotalCharges_1305.95,0.0
TotalCharges_1295.4,0.0
TotalCharges_1304.85,0.0
TotalCharges_1296.15,0.0
TotalCharges_1296.8,0.0
TotalCharges_1297.35,0.0
TotalCharges_1297.8,0.0
TotalCharges_1298.7,0.0
TotalCharges_98.35,0.0
TotalCharges_1299.8,0.0
TotalCharges_130.1,0.0
TotalCharges_130.15,0.0
TotalCharges_130.25,0.0
TotalCharges_130.5,0.0
TotalCharges_1315.35,0.0
TotalCharges_1315,0.0
TotalCharges_1313.55,0.0
TotalCharges_1308.1,0.0
TotalCharges_1274.45,0.0
TotalCharges_1275.6,0.0
TotalCharges_1275.65,0.0
TotalCharges_1275.7,0.0
TotalCharges_1275.85,0.0
TotalCharges_1292.65,0.0
TotalCharges_1293.8,0.0
TotalCharges_1294.6,0.0
TotalCharges_1306.3,0.0
TotalCharges_1308.4,0.0
TotalCharges_1313.25,0.0
TotalCharges_1309,0.0
TotalCharges_1309.15,0.0
TotalCharges_979.5,0.0
TotalCharges_131.65,0.0
TotalCharges_1311.3,0.0
TotalCharges_1311.6,0.0
TotalCharges_1311.75,0.0
TotalCharges_1312.15,0.0
TotalCharges_1312.45,0.0
TotalCharges_1242.45,0.0
TotalCharges_1244.8,0.0
TotalCharges_1355.1,0.0
TotalCharges_1327.15,0.0
TotalCharges_1340.1,0.0
TotalCharges_1341.5,0.0
TotalCharges_1343.4,0.0
TotalCharges_1380.1,0.0
TotalCharges_1344.5,0.0
TotalCharges_1345.65,0.0
TotalCharges_1345.75,0.0
TotalCharges_1345.85,0.0
TotalCharges_1346.2,0.0
TotalCharges_1346.3,0.0
TotalCharges_1346.9,0.0
TotalCharges_1347.15,0.0
TotalCharges_1348.5,0.0
TotalCharges_1348.9,0.0
TotalCharges_1337.5,0.0
TotalCharges_1337.45,0.0
TotalCharges_1336.9,0.0
TotalCharges_1336.8,0.0
TotalCharges_1323.7,0.0
TotalCharges_1325.85,0.0
TotalCharges_1326.25,0.0
TotalCharges_134.75,0.0
TotalCharges_1145.35,0.0
TotalCharges_134.6,0.0
TotalCharges_1414.8,0.0
TotalCharges_1411.35,0.0
TotalCharges_1411.65,0.0
TotalCharges_1411.9,0.0
TotalCharges_1412.4,0.0
TotalCharges_1412.65,0.0
TotalCharges_1413,0.0
TotalCharges_1414.2,0.0
TotalCharges_1414.45,0.0
TotalCharges_1414.65,0.0
TotalCharges_1415,0.0
TotalCharges_134.5,0.0
TotalCharges_1415.55,0.0
TotalCharges_1382.9,0.0
TotalCharges_1380.4,0.0
TotalCharges_1322.85,0.0
TotalCharges_1342.15,0.0
TotalCharges_1338.15,0.0
TotalCharges_1339.8,0.0
TotalCharges_134.05,0.0
TotalCharges_134.35,0.0
TotalCharges_1326.35,0.0
TotalCharges_1327.4,0.0
TotalCharges_1410.25,0.0
TotalCharges_1327.85,0.0
TotalCharges_1373,0.0
TotalCharges_1373.05,0.0
TotalCharges_1374.2,0.0
TotalCharges_1374.35,0.0
TotalCharges_1374.9,0.0
TotalCharges_1375.4,0.0
TotalCharges_1375.6,0.0
TotalCharges_1376.5,0.0
TotalCharges_1377.7,0.0
TotalCharges_1378.25,0.0
TotalCharges_1378.45,0.0
TotalCharges_1378.75,0.0
TotalCharges_1379.6,0.0
TotalCharges_1379.8,0.0
TotalCharges_138.85,0.0
TotalCharges_137.25,0.0
TotalCharges_1369.8,0.0
TotalCharges_135.75,0.0
TotalCharges_1367.75,0.0
TotalCharges_1350.15,0.0
TotalCharges_1354.4,0.0
TotalCharges_1372.9,0.0
TotalCharges_1372.45,0.0
TotalCharges_1370.35,0.0
TotalCharges_1335.2,0.0
TotalCharges_1328.15,0.0
TotalCharges_1328.35,0.0
TotalCharges_1329.15,0.0
TotalCharges_1329.2,0.0
TotalCharges_1331.05,0.0
TotalCharges_1332.4,0.0
TotalCharges_1334,0.0
TotalCharges_1334.45,0.0
TotalCharges_1334.5,0.0
TotalCharges_1336.1,0.0
TotalCharges_137.95,0.0
TotalCharges_1336.15,0.0
TotalCharges_1336.35,0.0
TotalCharges_1336.65,0.0
TotalCharges_1348.95,0.0
TotalCharges_135,0.0
TotalCharges_135.2,0.0
TotalCharges_137.1,0.0
TotalCharges_137.6,0.0
TotalCharges_137.85,0.0
TotalCharges_1411.2,0.0
TotalCharges_141.7,0.0
TotalCharges_1245.05,0.0
TotalCharges_1387.45,0.0
TotalCharges_1381.8,0.0
TotalCharges_140.4,0.0
TotalCharges_140.7,0.0
TotalCharges_140.95,0.0
